length , start  , read   , filter , measure , tagging , sort   , end
2, 960, 3711, 3922, 4128, 4333, 5212, 5414
3, 419, 965, 1171, 1404, 1620, 1829, 2062
4, 340, 654, 886, 1105, 1322, 1582, 1792
5, 629, 1081, 1363, 1594, 1834, 2061, 2278
6, 608, 1094, 1288, 1478, 1665, 1850, 2051
7, 607, 1094, 1277, 1463, 1646, 1827, 2063
8, 273, 562, 741, 932, 1107, 1334, 1506
9, 464, 792, 982, 1173, 1368, 1559, 1756
11, 293, 510, 691, 884, 1063, 1242, 1415
10, 32766, 33269, 33575, 33858, 34109, 34361, 34590
12, 518, 1084, 1279, 1466, 1658, 1849, 2046
13, 266, 497, 689, 881, 1061, 1238, 1411
14, 208, 426, 610, 802, 981, 1159, 1335
15, 195, 394, 578, 770, 979, 1161, 1336
16, 197, 406, 893, 1090, 1264, 1468, 1643
17, 197, 405, 591, 780, 960, 1139, 1312
18, 553, 1261, 1455, 1640, 1829, 2020, 2219
19, 447, 768, 966, 1150, 1334, 1518, 1715
20, 258, 491, 666, 849, 1021, 1192, 1360
21, 203, 436, 615, 793, 972, 1149, 1324
1, 3792, 6678, 8166, 9636, 11296, 12791, 14540
2, 3301, 6816, 7221, 7427, 7624, 10891, 11612
3, 984, 4090, 4281, 4470, 4865, 5055, 5254
4, 2522, 4980, 5200, 5417, 5655, 5944, 6166
5, 572, 1424, 1649, 1892, 2149, 2398, 2643
6, 703, 1484, 1703, 2278, 2489, 2699, 2903
1, 3685, 6921, 8624, 10332, 12043, 13548, 15237
2, 1093, 3119, 3328, 3849, 4274, 4484, 4691
3, 1694, 70106, 71076, 71833, 72658, 73398, 74150
4, 3283, 5916, 7305, 8541, 9841, 10993, 12216
5, 807, 2451, 2670, 2875, 3744, 3941, 4140
6, 1786, 6088, 6383, 6607, 6842, 8389, 8608
7, 637, 2138, 2508, 2732, 2942, 3166, 3376
8, 610, 1701, 1924, 2124, 2326, 2610, 2808
9, 557, 1339, 1554, 1761, 1987, 2198, 2470
10, 449, 816, 1081, 1320, 1545, 1760, 2014
11, 237680, 241607, 243334, 244643, 245943, 247240, 248584
12, 785, 2954, 3163, 3371, 3585, 3794, 4120
11, 599, 2192, 2419, 2825, 3016, 3211, 3402
10, 499, 2551, 2736, 2923, 3104, 3289, 3943
1, 4191, 7765, 9621, 11343, 13145, 14865, 16606
2, 3187, 5928, 7514, 8830, 10138, 11472, 12901
3, 1063, 2198, 2388, 2718, 2950, 3138, 3337
4, 815, 1555, 1895, 2186, 2496, 2808, 3190
5, 700, 1475, 1689, 1917, 2134, 2374, 2585
6, 675, 1372, 1872, 2096, 2300, 2511, 2718
7, 695, 1451, 1690, 1922, 2123, 2337, 2544
8, 591, 1307, 1516, 1719, 1996, 2236, 2433
9, 526, 1508, 1733, 1942, 2142, 2355, 2557
10, 687, 1534, 1762, 1979, 2186, 2396, 2609
11, 3613, 6696, 8599, 10207, 11862, 13348, 14998
12, 2508, 5347, 6774, 8112, 9457, 10671, 11921
13, 642, 2283, 2503, 2692, 2885, 3073, 3274
14, 470, 790, 985, 1185, 1373, 1564, 1765
15, 545, 1115, 1328, 1516, 1697, 1883, 2074
1, 3880, 7260, 8913, 10421, 12159, 13645, 15203
2, 752, 1723, 1993, 2185, 2376, 2667, 2845
3, 534, 1332, 1523, 1712, 1899, 2088, 2286
4, 458, 805, 996, 1183, 1366, 1556, 1757
5, 701, 2156, 2596, 2839, 3126, 3415, 3641
6, 465, 789, 981, 1172, 1360, 1545, 1743
7, 452, 786, 975, 1165, 1354, 1546, 1745
8, 1433, 2936, 3129, 3319, 3509, 3698, 3899
9, 567, 1211, 1402, 1594, 1781, 2572, 2776
10, 1198, 2989, 3224, 3430, 3635, 4073, 4723
11, 559, 1446, 1690, 1946, 2319, 2563, 3358
12, 1153, 4373, 4585, 4788, 4980, 5172, 5880
1, 2977, 5666, 7149, 8435, 9776, 10918, 12126
2, 3320, 4559, 4756, 4947, 5289, 5477, 5672
3, 1280, 2724, 2914, 3151, 5110, 5324, 5530
4, 4620, 7477, 7930, 9323, 9709, 11888, 12110
5, 706, 2204, 2395, 2588, 2782, 2972, 3171
6, 546, 1865, 2057, 2248, 2428, 2606, 2782
7, 396, 835, 1011, 1202, 1376, 1552, 1725
8, 1409, 2652, 2844, 3036, 3222, 3464, 3664
9, 713, 2056, 2306, 2524, 2737, 2960, 3164
10, 413, 926, 1183, 1424, 1712, 1963, 2202
11, 377, 757, 1081, 1310, 1556, 1828, 2091
12, 463, 780, 1033, 1273, 1498, 1708, 1936
13, 388, 741, 1007, 1265, 1525, 1774, 2004
14, 655, 2874, 3090, 3285, 3480, 3923, 4123
15, 724, 1368, 1726, 1946, 2170, 2376, 2571
16, 456, 856, 1046, 1237, 1420, 1607, 1802
1, 3360, 6074, 7681, 9124, 10365, 11707, 12915
2, 800, 2135, 2327, 2523, 2714, 2904, 3391
3, 555, 1623, 1820, 2013, 2207, 2411, 2612
4, 559, 1020, 1216, 1408, 1596, 1782, 1983
5, 459, 752, 943, 1134, 1322, 1511, 1712
6, 650, 3483, 3698, 3897, 4089, 5455, 5657
7, 602, 3964, 4163, 4361, 4555, 4924, 5128
8, 668, 2562, 2756, 2951, 3139, 4598, 4797
9, 680, 1375, 1576, 1765, 1955, 2145, 2344
10, 274, 604, 785, 964, 1147, 1324, 1502
11, 509, 1864, 2049, 2232, 2415, 2594, 2786
12, 5985, 7431, 7638, 7821, 8097, 8270, 8439
13, 446, 781, 969, 1150, 1336, 1517, 1712
14, 366, 668, 909, 1156, 1360, 1578, 1800
15, 204, 420, 596, 775, 946, 1118, 1284
16, 576, 1201, 1390, 1578, 1765, 1959, 2136
17, 255, 461, 640, 810, 982, 1159, 1328
18, 456, 744, 932, 1122, 1304, 1486, 1681
19, 223, 435, 623, 807, 995, 1176, 1350
20, 457, 767, 955, 1146, 1327, 1506, 1695
21, 285, 549, 731, 914, 1096, 1272, 1444
1, 1455, 2588, 3088, 3620, 4126, 4630, 5144
2, 1975, 3777, 4016, 4238, 4448, 4665, 4879
3, 917, 2014, 2221, 2429, 2639, 2837, 3038
4, 541, 1127, 1364, 1583, 1837, 2043, 2251
5, 657, 1301, 1519, 1732, 1940, 2164, 2386
6, 618, 1235, 1450, 1741, 2036, 2322, 2588
7, 500, 1156, 1392, 1594, 1819, 2038, 2261
8, 488, 1014, 1248, 1492, 1733, 2002, 2264
9, 1720, 3371, 3837, 4084, 4294, 4508, 4708
10, 558, 1433, 14257, 14585, 14824, 15072, 15350
11, 415, 904, 1161, 1406, 1625, 1876, 2142
12, 648, 4141, 4672, 4885, 5096, 5303, 5505
13, 669, 1665, 1953, 2168, 2435, 2648, 2884
1, 810, 1700, 2025, 2302, 2571, 2850, 3123
2, 1458, 3826, 4066, 4285, 4496, 4874, 5534
3, 1276, 2170, 2652, 2855, 3083, 3297, 3500
4, 694, 1969, 2296, 2539, 2794, 3076, 3347
5, 399, 807, 1044, 1271, 1495, 1720, 1942
6, 719, 2403, 2597, 2794, 2989, 3181, 3381
7, 520, 1143, 1337, 1527, 1719, 1920, 2122
8, 623, 2198, 2391, 2582, 2768, 3029, 3232
9, 1109, 1952, 2218, 2485, 2734, 3827, 4081
10, 251, 588, 844, 1091, 1319, 1528, 1722
11, 733, 1119, 1359, 1593, 1807, 2035, 2267
12, 915, 1897, 2083, 2366, 2549, 2729, 2921
13, 558, 1279, 1470, 1650, 1836, 2018, 2215
1, 3092, 5750, 7111, 8430, 9891, 11236, 12591
2, 2987, 5415, 6875, 8097, 9325, 10466, 11633
3, 564, 1787, 1982, 2179, 3178, 3368, 3565
4, 607, 1375, 1557, 1745, 1922, 2098, 2268
