Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
search_alone/1,2.3704546082270413e-2,2.2459880446781735e-2,2.4333255724073e-2,2.267947750615833e-3,1.2100834174437849e-3,3.593502427495797e-3
search_alone/2,3.6180399062516716e-2,3.477091077645659e-2,3.747700041720055e-2,3.6394507946564516e-3,2.557438507879143e-3,5.666132903224322e-3
search_alone/3,3.032794807840196e-2,2.8752077345979083e-2,3.1502308374987964e-2,3.090762176880993e-3,2.1005183906619472e-3,4.9137831029804875e-3
search_alone/4,3.0322864840318674e-2,2.799711822340441e-2,3.184646842372767e-2,3.979534117539263e-3,2.4461864372932436e-3,6.435400917725883e-3
search_alone/5,3.47377329911672e-2,3.348586003103042e-2,3.5903487980113495e-2,2.8898450155872726e-3,1.8739380537204505e-3,4.39262416188525e-3
search_alone/6,3.83809134077452e-2,3.682067983111978e-2,3.9485690625962605e-2,3.206087799099685e-3,2.0521366115075603e-3,4.5769788936978065e-3
search_alone/7,4.117841927906082e-2,3.995093386403235e-2,4.1967349487643926e-2,2.11160031199051e-3,1.5855432049395326e-3,2.88175748051417e-3
search_alone/8,4.234868374541886e-2,4.011680308781092e-2,4.356355926432422e-2,3.569699292360118e-3,2.384123570927912e-3,5.519858032898079e-3
search_alone/9,4.700821273124799e-2,4.541421686462162e-2,4.7964110643987076e-2,2.5247308716294685e-3,1.5564287424277407e-3,3.715743175714151e-3
search_alone/11,4.896146731561845e-2,4.6929889494566834e-2,5.042762107254541e-2,3.6371565287172418e-3,1.6823295680907513e-3,5.635919476579525e-3
search_alone/13,4.9531000903625194e-2,4.792672202147791e-2,5.040980509512854e-2,2.507134812001037e-3,1.4487607802923378e-3,3.91149386957708e-3
search_alone/15,4.904109224602565e-2,4.689858795140822e-2,5.059884598338233e-2,3.927471106713017e-3,2.4922856510813237e-3,5.867963761174082e-3
search_alone/17,4.894476789348371e-2,4.6930994424111916e-2,5.042821810487706e-2,3.7025726266335683e-3,1.8864403685797905e-3,5.422970040134214e-3
search_alone/19,4.9089057496437466e-2,4.732238238641138e-2,5.0030172547913684e-2,2.499623714393057e-3,1.3851029913971638e-3,3.984718477044882e-3
search_alone/17 b,2.0127648678871454e-2,1.890770880110481e-2,2.10308819701988e-2,2.653747259153772e-3,1.7785075172294376e-3,3.825328550810139e-3
search_alone/19 b,1.9681171023912557e-2,1.844110684158073e-2,2.047579130659579e-2,2.585067839630767e-3,1.6695722900097623e-3,3.777773998226504e-3
