Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
search_alone/1,2.3880082064225528e-2,2.2706748794999256e-2,2.620026620399478e-2,3.5543731488154825e-3,1.7042169396249106e-3,5.718814757976251e-3
search_alone/2,3.556939697318138e-2,3.343730047446692e-2,3.798418236978432e-2,4.9968630698077e-3,3.3475880111631284e-3,7.7533917993676885e-3
search_alone/3,3.0187814772984378e-2,2.717695364209551e-2,3.126285443548983e-2,4.047242866564571e-3,2.471620008618294e-3,6.765569033209551e-3
search_alone/4,3.0569183030857327e-2,2.8250330789231483e-2,3.19517141045838e-2,4.208471551597942e-3,2.261777441994115e-3,6.512949689982343e-3
search_alone/5,3.406408525741361e-2,3.170714595619805e-2,3.5839076654214146e-2,4.634369410210653e-3,2.61239479291386e-3,7.532908705224368e-3
search_alone/6,3.753259749839601e-2,3.5023392970990455e-2,3.883191246169825e-2,3.773908997418623e-3,1.8776531179177203e-3,6.301622382829156e-3
search_alone/7,4.070700376535654e-2,3.826453538545163e-2,4.220727572004114e-2,4.371750457627132e-3,2.6843670667822685e-3,7.207018800352039e-3
search_alone/8,4.2393432434199144e-2,4.0013752560882486e-2,4.433981360453083e-2,4.482095533297649e-3,2.5997787705430825e-3,7.047399241711599e-3
search_alone/9,4.6062143675391576e-2,4.288702754773502e-2,4.7260630844588744e-2,3.898800012625849e-3,2.1467927271002192e-3,6.552535737141616e-3
search_alone/11,4.83524729886899e-2,4.526952596771152e-2,4.9585679407771845e-2,3.6720309662600314e-3,1.9154990401769579e-3,5.912293915613992e-3
search_alone/13,4.817622099291685e-2,4.561810234566746e-2,4.924530857223307e-2,3.7755334202000793e-3,2.1083048262007936e-3,6.0128751465449316e-3
search_alone/15,4.801081212624589e-2,4.5458938278594374e-2,4.942613032123315e-2,4.306273115999581e-3,2.204014083260301e-3,6.703688862101402e-3
search_alone/17,4.7822838555791995e-2,4.511887333528991e-2,4.913193125190155e-2,3.8299381544255194e-3,1.1837438168675195e-3,6.221577551848257e-3
search_alone/19,4.7204814421723806e-2,4.477695818908837e-2,4.862048520384438e-2,3.965372802499485e-3,2.270459244115983e-3,6.0678254287583515e-3
search_alone/17 b,2.0222271283542335e-2,1.900909450581438e-2,2.1626110153119025e-2,3.339608977047476e-3,2.1090612797199956e-3,5.2565334889429485e-3
search_alone/19 b,1.957244412745166e-2,1.847287248980072e-2,2.054085792702729e-2,2.806417422199429e-3,1.7796535092373673e-3,4.241051972991083e-3
