Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
search_alone/1,2.7270356252140967e-2,2.2906991503880227e-2,3.9289525075803515e-2,1.851209819030985e-2,1.8799954756012795e-3,3.4205631089318234e-2
search_alone/2,3.586379351977163e-2,3.432208277894313e-2,3.763134615822248e-2,3.761323296039871e-3,2.4413363994386884e-3,6.1721975074208475e-3
search_alone/3,2.988114713927194e-2,2.8399164775390857e-2,3.074762441940531e-2,2.7327818571255256e-3,1.913138300426022e-3,3.6131157196061738e-3
search_alone/4,3.024168898802524e-2,2.8324340078406667e-2,3.1439424442392054e-2,3.7765241514460565e-3,2.2357055819635504e-3,5.943569124987481e-3
search_alone/5,3.413832749972131e-2,3.250049513839701e-2,3.5964446776999996e-2,3.8160247295935777e-3,2.4655580202502013e-3,5.730354290924245e-3
search_alone/6,3.8367107805916616e-2,3.6969083760701175e-2,3.968732957010282e-2,3.1117597155385724e-3,2.0914257443738586e-3,4.887820148315294e-3
search_alone/7,4.1315832855181596e-2,3.8995476729173764e-2,4.314881517269091e-2,4.356845997565266e-3,2.6199919176027207e-3,6.670387659257323e-3
search_alone/8,4.263108811936036e-2,4.049756024938007e-2,4.411735503581957e-2,3.6659956371970052e-3,2.382302070912741e-3,5.679311617445515e-3
search_alone/9,4.6636423369352385e-2,4.537405188134179e-2,4.748503919884657e-2,2.33811907209161e-3,1.2452884905163183e-3,3.7989038089403485e-3
search_alone/11,4.941422507085452e-2,4.7570468103872e-2,5.114515418726562e-2,3.6807252123737377e-3,2.430697042247587e-3,5.642687375150781e-3
search_alone/13,4.85479369672365e-2,4.692517419127498e-2,4.981477988611237e-2,2.953349853360712e-3,2.1392561872282134e-3,3.743820339805546e-3
search_alone/15,4.847259859776625e-2,4.615463973588922e-2,4.96423905673382e-2,3.4897531376156857e-3,1.675597695462905e-3,5.454456426497835e-3
search_alone/17,4.824642377088305e-2,4.6286513925621525e-2,4.9196825602707446e-2,2.8922091211881435e-3,1.4665028853127868e-3,4.043753813950758e-3
search_alone/19,4.7799760000921544e-2,4.502098461385605e-2,4.897045130777233e-2,3.4765705027051098e-3,1.6643510066435547e-3,5.312027753195186e-3
search_alone/17 b,2.062277931306004e-2,1.9340193993393387e-2,2.2307785230578133e-2,3.594217897063911e-3,1.9944344026911758e-3,6.1213054708831975e-3
search_alone/19 b,1.9835214397857664e-2,1.887356301627786e-2,2.0471751304490252e-2,2.0016168207197312e-3,1.3833911798531392e-3,2.9039488924972e-3
search_fork/1,2.3677631740069014e-2,2.251433196679454e-2,2.4365972772447387e-2,2.192497303804958e-3,1.4405514831012847e-3,3.4011999524167923e-3
search_fork/2,3.600185859677674e-2,3.417448977568693e-2,3.8245150761176565e-2,4.335412332393828e-3,2.860355692077498e-3,6.679450632949691e-3
search_fork/3,3.0017682056688633e-2,2.8417147597559384e-2,3.1229343412104697e-2,3.267460973298778e-3,2.1880451066120504e-3,4.688081345323872e-3
search_fork/4,3.155633234054441e-2,3.015862104327921e-2,3.325037219144201e-2,3.510569907749031e-3,1.7264585407219138e-3,6.462415682114515e-3
search_fork/5,3.4541357480839696e-2,3.334465811282466e-2,3.595135457642183e-2,3.0735850012526215e-3,2.0473497077498877e-3,5.309096860766957e-3
search_fork/6,3.814058782390006e-2,3.593611229692218e-2,3.964776446466733e-2,3.940544546585006e-3,2.318687616059729e-3,5.803811246040043e-3
search_fork/7,4.091563361195773e-2,3.877331346503491e-2,4.240714994213219e-2,3.9740288384751445e-3,2.3808941088662708e-3,6.173302609832747e-3
search_fork/8,4.3090007410480274e-2,4.175374938572001e-2,4.4108554430494475e-2,2.6154885182734003e-3,1.738233491303697e-3,4.099207842503442e-3
search_fork/9,4.683813274781482e-2,4.553155918921507e-2,4.762364484793099e-2,2.1454907026515584e-3,1.3620781068589634e-3,2.972441326326923e-3
search_fork/11,4.890742282707907e-2,4.613936612378136e-2,5.032560632527056e-2,4.068524257539577e-3,2.3866083549699785e-3,6.836494451637994e-3
search_fork/13,4.930232552571619e-2,4.6898392910548606e-2,5.0740591885836725e-2,4.09510934959433e-3,2.317453211089357e-3,6.351046553238873e-3
search_fork/15,4.848138518192829e-2,4.6244557524871166e-2,4.9860167913073954e-2,3.559364162884706e-3,1.4565808428132518e-3,5.281890957441219e-3
search_fork/17,4.8406675805120196e-2,4.712043697400581e-2,4.9431211989594465e-2,2.8004876164705894e-3,1.0930457505893857e-3,3.8422331272112563e-3
search_fork/19,4.999380207000385e-2,4.890253272264038e-2,5.158690958974313e-2,2.5304206154952006e-3,1.6899901718439093e-3,3.5392441362076064e-3
search_dedicated/1,2.3910092743270505e-2,2.271538439245709e-2,2.484047109731381e-2,2.450135508832679e-3,1.891059662250203e-3,3.3802693207118212e-3
search_dedicated/2,3.6459329785190786e-2,3.491950046880049e-2,3.8181406930260536e-2,3.867902161051579e-3,2.4470783062482296e-3,5.432130763976195e-3
search_dedicated/3,3.020037557229661e-2,2.839558391685822e-2,3.202367375462069e-2,4.388856180322973e-3,2.093833149335751e-3,7.560225208604762e-3
search_dedicated/4,3.0894588095734043e-2,2.8919265276652322e-2,3.270017374578178e-2,4.4622981599167595e-3,2.7391993502307354e-3,7.562256751141935e-3
search_dedicated/5,3.44560099842599e-2,3.2446610188821404e-2,3.6302021037600475e-2,4.525904940271542e-3,2.9890873670763594e-3,7.35208667674071e-3
search_dedicated/6,3.836278722808175e-2,3.630591530153113e-2,4.022996734717487e-2,4.6689861516011405e-3,3.0421304241783965e-3,7.682970989851257e-3
search_dedicated/7,4.124341416884019e-2,3.984360354175531e-2,4.232756773074714e-2,2.775364189767916e-3,1.8600973261795077e-3,4.279891644728801e-3
search_dedicated/8,4.255622473678474e-2,4.035188278919277e-2,4.377187006910871e-2,3.405173267431686e-3,1.2147845411244955e-3,5.164553046459562e-3
search_dedicated/9,4.662257635474518e-2,4.5073560382851784e-2,4.750400555680489e-2,2.532850031919258e-3,1.651200012183949e-3,3.6463740137851613e-3
search_dedicated/11,4.8596016643017756e-2,4.6418751570869096e-2,4.9845825340158065e-2,3.3470752455584834e-3,1.0515774699116748e-3,5.148091303580228e-3
search_dedicated/13,5.063969000248611e-2,4.846217592438959e-2,5.360449432265646e-2,5.289352261781486e-3,2.3089130755253127e-3,8.274593561446646e-3
search_dedicated/15,4.88743939858265e-2,4.686356009761962e-2,5.039248507626725e-2,3.9570049149554145e-3,2.1807032579855136e-3,6.279493338829222e-3
search_dedicated/17,4.968327589699931e-2,4.8771929083656844e-2,5.167197225024775e-2,2.732703105875028e-3,1.2418069017953702e-3,5.04378079436039e-3
search_dedicated/19,4.836182461652459e-2,4.688709952570717e-2,4.9358194945318686e-2,2.4969758615621075e-3,1.655044790546006e-3,3.7669827397407625e-3
